,oldID-poseID,Class,if_X_fa_atr,if_X_fa_elec,if_X_fa_pair,if_X_fa_rep,if_X_fa_sol,if_X_hbond_bb_sc,if_X_hbond_sc,interface_delta_X,total_score_X
86,SUBS126-0141,0,-11.97499282210411,0.0415104170607514,0.0,1.066514187630673,4.054619412576266,0.0,-1.645840280286117,-8.45818908512274,-38.0
87,SUBS126-0391,0,-13.77620849663435,-1.174471973702817,0.0,2.704369029492773,5.628881562124297,0.0,-1.416674225242438,-8.034104103961909,-42.0
88,SUBS126-0835,0,-13.82843859048044,-1.965032532321554,0.0,2.067383088708993,7.736057863055521,0.0,-3.942157621092537,-9.932187792129753,-37.0
89,SUBS126-0466,0,-10.66168605390703,-0.6825981445561023,0.0,1.417785944781917,3.526313783510977,0.0,-1.636684696431923,-8.036869166602173,-36.0
90,SUBS126-0677,0,-18.58208950751759,-1.126047504946177,0.0,3.694430423929862,12.50804168432378,-0.3663970193028803,-4.854177113633528,-8.72623903714657,-40.0
91,SUBS126-0602,0,-10.81432743933474,-1.232868956281524,0.0,1.690371801020683,4.309778590476617,0.0,-2.333720709108298,-8.380766713227331,-38.0
92,SUBS126-0877,0,-10.72545115542816,-0.7692950516313044,0.0,1.843379470263335,2.963031174587195,0.0,-1.306027376787426,-7.994362938996346,-41.0
93,SUBS126-0456,0,-17.91057977555138,0.1611768624400634,0.0,3.771543383377048,5.694918979537943,0.0,-0.1027386377764444,-8.385679187972983,-42.0
94,SUBS126-0440,0,-10.49797454524996,-0.7704556589269907,0.0,0.9972231111264592,3.392124668810538,0.0,-1.698497615099529,-8.57758003933941,-36.0
95,SUBS126-0240,0,-13.25999100369772,-0.3722002831808004,0.0,1.623431719370365,5.109946823717473,0.0,-1.214138577496965,-8.112951321287255,-40.0
96,SUBS126-0809,0,-10.14146162077668,-1.211034841224947,0.0,0.7143896678644523,4.536892489233196,0.0,-2.75033634945989,-8.851550654364019,-39.0
97,SUBS126-0442,0,-13.87879896930499,-0.7348865134913717,0.0,1.890225976831516,5.394223094130029,0.0,-1.978374837962554,-9.307611249796992,-41.0
98,SUBS126-0606,0,-12.87995156900761,-1.255188416820531,0.0,1.287055171826432,6.390963107893276,0.0,-2.710169156355589,-9.167290862464142,-40.0
99,SUBS126-0113,0,-13.79981811601465,-0.6904721825556123,0.0,2.283834014676358,5.9442699593219,0.0,-1.626691423596826,-7.888877748168852,-40.0
100,SUBS114-0790,0,-13.73739020523317,-0.9801026210364956,0.0,3.572606293630725,5.18303172778942,0.0,-3.48733038829435,-9.44918519314342,-60.0
101,SUBS114-0175,0,-15.18069217257143,-0.9424493211775938,0.0,4.754486407315381,5.259333854186025,0.0,-1.821070533351918,-7.930391765599325,-61.0
102,SUBS114-0102,0,-11.06421341221103,-0.3066559763951227,0.0,1.266564768558783,2.594460363760845,0.0,-0.7318111711611742,-8.241655427447313,-56.0
103,SUBS114-0274,0,-14.84982011238644,-1.206620467496759,0.0,1.474188447335837,7.866280983196884,0.0,-2.471355729007389,-9.187326878357908,-57.0
104,SUBS114-0350,0,-12.98618501632591,-0.4620127452449799,0.0,0.7385607065059049,5.800963328974831,0.0,-1.428957938214031,-8.337631664304809,-60.0
105,SUBS114-0898,0,-12.87451724826678,-1.26381657845682,0.0,3.177117521546097,4.017644982646743,0.0,-2.33818265540764,-9.28175397793848,-62.0
106,SUBS114-0303,0,-10.77317625861397,-1.639392883396185,0.0,1.073059944447959,4.305161079380104,0.0,-2.398057645508998,-9.43240576369135,-51.0
107,SUBS114-0596,0,-10.93311155567863,-1.808225632988027,0.0,1.244494325843698,3.840184423101254,0.0,-3.767693279195873,-11.42435171891748,-48.0
108,SUBS114-0345,0,-13.53700218413142,-0.3781592309217819,0.0,1.513109926856305,4.854126558019652,0.0,-1.618650164409101,-9.166575094586278,-61.0
109,SUBS114-0991,0,-12.79247006764672,-1.274074919129746,0.0,2.746317557029215,5.116739757952928,0.0,-1.767347996967756,-7.970835668761993,-61.0
110,SUBS114-0890,0,-8.419066128344639,-0.8214586048895478,0.0,0.7757231802890602,2.122368169080346,0.0,-1.609181028847237,-7.951614412712388,-57.0
111,SUBS114-0608,0,-16.44890913772943,0.0876666403291244,0.0,4.057106499604743,5.593610724664904,0.0,-1.569296895917199,-8.279822169047748,-66.0
112,SUBS114-0312,0,-12.07332920984591,-0.8049086718249907,0.0,1.404231097833599,5.02923149659955,0.0,-1.224033989220853,-7.668809276459342,-51.0
